FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1238,CHN42025,ssmx__,ss,28577.638517100000172,30498330.622000001370907
1239,CHN42033,scpu__,sc,12842.349462899999708,9376000.083820000290871
1240,CHN42035,scsscl,sc,15092.273943599999257,4037102.672569999936968
1241,CHN42040,smmx__,sm,422695.934308000025339,1607610984.440000057220459
1242,CHN42051,ssshmt,ss,19252.449334199998702,23855539.693399999290705
1243,CHN42053,smmx__,sm,64385.846385600001668,98613321.374400004744530
1244,CHN42054,ssshmt,ss,60005.232808100001421,98844849.385800004005432
1245,CHN42066,pa____,pa,132878.352015000011306,465751923.125999987125397
1246,CHN42067,smmxvr,sm,33910.424270600000455,14759992.933800000697374
1247,CHN42068,pb____,pb,22478.231022700001631,16577842.449400000274181
1248,CHN42070,smmx__,sm,152117.860106000007363,126505161.947999998927116
1249,CHN42077,smmxvr,sm,59737.640267299997504,51145831.990299999713898
1250,CHN42083,ssshmt,ss,27529.585518200001388,23540380.219599999487400
1251,CHN42084,sumx__,su,67049.288277200001176,42691869.254299998283386
1252,CHN42085,sush__,su,67473.323156099999323,41607247.294299997389317
1253,CHN42095,pa____,pa,22398.485905099998490,30805285.258799999952316
1254,CHN42096,smmxvr,sm,153573.984155999991344,161491916.358999997377396
1255,CHN42102,vb____,vb,26885.105590300001495,28675866.596400000154972
1256,CHN42104,scpu__,sc,9748.017725010000504,6213249.730440000072122
1257,CHN42106,pa____,pa,23901.118308299999626,21788225.548799999058247
1258,CHN42108,ssmx__,ss,25205.862760799998796,17911048.354299999773502
1259,CHN42111,vb____,vb,13013.582751399999324,10320435.755499999970198
1260,CHN42119,ssmx__,ss,21500.192134000000806,14485755.581299999728799
1261,CHN42122,smmxvr,sm,174986.460129000013694,267752658.176999986171722
1262,CHN42133,ssmx__,ss,26110.557138399999531,18621009.719599999487400
1263,CHN42137,scpu__,sc,11180.535746600000493,6329815.096099999733269
1264,CHN42138,scpu__,sc,18879.910654600000271,20969166.250700000673532
1265,CHN42143,smmxvr,sm,68872.410578399998485,151693299.979999989271164
1266,CHN42149,smmxvr,sm,87656.842623799995636,85463904.102400004863739
1267,CHN42187,pb____,pb,24042.080939799998305,11732957.117100000381470
1268,CHN42189,smmxvr,sm,108416.540603000001283,433999705.213999986648560
1269,CHN42191,smmx__,sm,172795.743198000011034,396904145.097000002861023
1270,CHN42173,scpu__,sc,15012.198190200000681,10896901.039499999955297
1271,CHN42176,smmxvr,sm,59105.606780399997660,123492492.121000006794930
1272,CHN42206,scpu__,sc,15332.922897500000545,12212284.183599999174476
1273,CHN42211,smmx__,sm,143568.563704000000143,395013072.425999999046326
1274,CHN42229,vb____,vb,18998.541979500001617,12336798.791400000452995
1275,CHN42231,pa____,pa,233506.725994999986142,742740292.016000032424927
1276,CHN42237,sush__,su,26649.597699400001147,21129798.807900000363588
