,Qw(m3/s),Qs(kg/s),Qb(kg/s),CsBin1,CsBin2,CsBin3,CsBin4,vel(m/s),wid(m),dep(m),temp(deg.C),prec(m)
12764,884.324 ,0.376 ,18.560 ,0.000,0.000,0.000,0.000 ,0.846,  1152.188,  0.908  ,16.17846, 0.00000 
12765,884.602 ,0.245 ,18.566 ,0.000,0.000,0.000,0.000 ,0.846,  1152.282,  0.908  ,16.68495, 0.00000 
12766,884.592 ,0.360 ,18.566 ,0.000,0.000,0.000,0.000 ,0.846,  1152.279,  0.908  ,16.63164, 0.00000 
12767,884.540 ,0.412 ,18.565 ,0.000,0.000,0.000,0.000 ,0.846,  1152.261,  0.908  ,17.08260, 0.00000 
12768,884.498 ,0.448 ,18.564 ,0.000,0.000,0.000,0.000 ,0.846,  1152.247,  0.908  ,17.31924, 0.00002 
12769,884.456 ,0.374 ,18.563 ,0.000,0.000,0.000,0.000 ,0.846,  1152.233,  0.908  ,17.77926, 0.00003 
12770,884.415 ,0.663 ,18.562 ,0.000,0.000,0.000,0.000 ,0.846,  1152.219,  0.908  ,17.35745, 0.00001 
12771,884.373 ,0.816 ,18.561 ,0.000,0.000,0.000,0.000 ,0.846,  1152.204,  0.908  ,16.99210, 0.00001 
12772,884.331 ,0.222 ,18.561 ,0.000,0.000,0.000,0.000 ,0.846,  1152.190,  0.908  ,16.75188, 0.00001 
12773,884.289 ,1.064 ,18.560 ,0.000,0.000,0.000,0.000 ,0.846,  1152.176,  0.908  ,16.65301, 0.00000 
12774,884.247 ,0.617 ,18.559 ,0.000,0.000,0.000,0.000 ,0.846,  1152.162,  0.908  ,16.17504, 0.00000 
12775,884.448 ,7.643 ,18.563 ,0.002,0.002,0.002,0.003 ,0.846,  1152.230,  0.908  ,15.76437, 0.00000 
12776,884.365 ,7.687 ,18.561 ,0.002,0.002,0.002,0.003 ,0.846,  1152.202,  0.908  ,15.65169, 0.00000 
12777,884.281 ,10.959 ,18.559 ,0.002,0.002,0.003,0.004 ,0.846,  1152.173,  0.908  ,16.67221, 0.00000 
12778,884.197 ,4.327 ,18.558 ,0.001,0.001,0.001,0.002 ,0.846,  1152.145,  0.908  ,17.06961, 0.00000 
12779,884.114 ,6.645 ,18.556 ,0.002,0.002,0.002,0.003 ,0.846,  1152.117,  0.908  ,17.34715, 0.00000 
12780,884.041 ,6.699 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.092,  0.908  ,17.50431, 0.00000 
12781,885.225 ,3.633 ,18.579 ,0.001,0.001,0.001,0.001 ,0.846,  1152.493,  0.908  ,17.47604, 0.00000 
12782,884.000 ,6.274 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,17.25813, 0.00000 
12783,884.000 ,8.279 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,17.06032, 0.00000 
12784,884.000 ,4.340 ,18.554 ,0.001,0.001,0.001,0.002 ,0.845,  1152.078,  0.908  ,17.55461, 0.00000 
12785,884.000 ,10.051 ,18.554 ,0.002,0.002,0.003,0.004 ,0.845,  1152.078,  0.908  ,18.13452, 0.00000 
12786,884.000 ,5.817 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,18.29858, 0.00000 
12787,884.000 ,2.867 ,18.554 ,0.001,0.001,0.001,0.001 ,0.845,  1152.078,  0.908  ,18.45102, 0.00000 
12788,884.000 ,6.256 ,18.554 ,0.001,0.001,0.002,0.002 ,0.845,  1152.078,  0.908  ,17.80161, 0.00000 
12789,884.000 ,6.533 ,18.554 ,0.001,0.001,0.002,0.003 ,0.845,  1152.078,  0.908  ,17.26389, 0.00000 
12790,884.000 ,4.582 ,18.554 ,0.001,0.001,0.001,0.002 ,0.845,  1152.078,  0.908  ,17.28898, 0.00000 
12791,884.000 ,8.264 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,17.49290, 0.00000 
12792,884.000 ,5.112 ,18.554 ,0.001,0.001,0.001,0.002 ,0.845,  1152.078,  0.908  ,17.85889, 0.00000 
12793,884.000 ,4.642 ,18.554 ,0.001,0.001,0.001,0.002 ,0.845,  1152.078,  0.908  ,18.17056, 0.00000 
12794,884.000 ,8.357 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,18.34296, 0.00000 
12795,884.000 ,7.071 ,18.554 ,0.002,0.002,0.002,0.003 ,0.845,  1152.078,  0.908  ,18.67030, 0.00000 
12796,884.062 ,4.754 ,18.555 ,0.001,0.001,0.001,0.002 ,0.846,  1152.099,  0.908  ,19.09008, 0.00000 
12797,884.086 ,5.083 ,18.555 ,0.001,0.001,0.001,0.002 ,0.846,  1152.107,  0.908  ,19.76592, 0.00000 
12798,884.096 ,2.672 ,18.556 ,0.001,0.001,0.001,0.001 ,0.846,  1152.111,  0.908  ,20.19385, 0.00000 
12799,884.091 ,5.008 ,18.555 ,0.001,0.001,0.001,0.002 ,0.846,  1152.109,  0.908  ,20.58496, 0.00000 
12800,884.084 ,6.097 ,18.555 ,0.001,0.001,0.002,0.002 ,0.846,  1152.107,  0.908  ,20.68000, 0.00000 
12801,884.077 ,5.383 ,18.555 ,0.001,0.001,0.002,0.002 ,0.846,  1152.104,  0.908  ,20.25027, 0.00000 
12802,884.071 ,4.669 ,18.555 ,0.001,0.001,0.001,0.002 ,0.846,  1152.102,  0.908  ,20.25233, 0.00008 
12803,884.064 ,6.192 ,18.555 ,0.001,0.001,0.002,0.002 ,0.846,  1152.100,  0.908  ,20.14332, 0.00275 
12804,884.058 ,5.460 ,18.555 ,0.001,0.001,0.002,0.002 ,0.846,  1152.098,  0.908  ,20.27497, 0.00327 
12805,884.051 ,5.664 ,18.555 ,0.001,0.001,0.002,0.002 ,0.846,  1152.095,  0.908  ,20.99975, 0.00005 
12806,884.102 ,6.836 ,18.556 ,0.002,0.002,0.002,0.003 ,0.846,  1152.113,  0.908  ,21.67647, 0.00000 
12807,884.417 ,4.914 ,18.562 ,0.001,0.001,0.001,0.002 ,0.846,  1152.219,  0.908  ,21.95740, 0.00000 
12808,884.645 ,5.967 ,18.567 ,0.001,0.001,0.002,0.002 ,0.846,  1152.297,  0.908  ,22.55867, 0.00000 
